id,playerid,firstname,lastname,club,position,basesalary,guaranteedcomp,recordyear,recordseason
QzsxkFxp,,Aleksey,Miranchuk,ATL,M,3600000.00,4885441.00,2025,Fall
O0Jn6skA,,Emmanuel,Latte Lath,ATL,F,3534546.00,4030546.00,2025,Fall
j4gbG5Mx,,Jamal,Thiare,ATL,F,700000.00,730000.00,2025,Fall
jOHTm6fl,,Cayman,Togashi,ATL,F,104000.00,104000.00,2025,Fall
hFRPJrAj,,Enea,Mihaj,ATL,D,1030000.00,1372000.00,2025,Fall
HkkrYOS6,,Juan,Berrocal,ATL,D,1200000.00,1200000.00,2025,Fall
mhhfYMNk,,Stian,Gregersen,ATL,D,800000.00,920000.00,2025,Fall
68jQAm5S,,Noah,Cobb,ATL,D,109000.00,109000.00,2025,Fall
V4csvEGV,,Will,Reilly,ATL,M,80622.00,80622.00,2025,Fall
KChIUlch,,Cooper,Sanchez,ATL,M,80622.00,80622.00,2025,Fall
5kdV5oBS,,Steven,Alzate,ATL,M,1125200.00,1440101.00,2025,Fall
byPC2Its,,Ajani,Fortune,ATL,M,109000.00,109000.00,2025,Fall
7ZcCxISm,,Tristan,Muyumba,ATL,M,550000.00,591600.00,2025,Fall
zdDOpmX3,,Bartosz,Slisz,ATL,M,670000.00,870000.00,2025,Fall
FS8LuB9R,,Adyn,Torres,ATL,M,80622.00,80622.00,2025,Fall
tS0AM9Ri,,Josh,Cohen,ATL,GK,289992.00,328492.00,2025,Fall
XNhca92L,,Brad,Guzan,ATL,GK,300000.00,312500.00,2025,Fall
QxlnOZBk,,Jayden,Hibbert,ATL,GK,80622.00,80622.00,2025,Fall
stlxTbyS,,Edwin,Mosquera,ATL,F,425000.00,455833.00,2025,Fall
HAL4qrwk,,Leo,Afonso,ATL,F,80622.00,80622.00,2025,Fall
aqvNrigE,,Saba,Lobjanidze,ATL,F,900000.00,998750.00,2025,Fall
1HoQCkNX,,Dominik,Chong Qui,ATL,D,80622.00,80622.00,2025,Fall
POpe0Jgk,,Pedro,Amador,ATL,D,231996.00,267608.00,2025,Fall
NIw5MWCj,,Luke,Brennan,ATL,M,104000.00,104000.00,2025,Fall
8kIkHyRE,,Miguel,Almiron,ATL,F,6056000.00,7871000.00,2025,Fall
cQ7MwUv0,,Ashton,Gordon,ATL,F,80622.00,80622.00,2025,Fall
