id,playerid,firstname,lastname,club,position,basesalary,guaranteedcomp,recordyear,recordseason
04nPM5C7,XWNPcH,Joaquin,Fernandez,KC,D,1000000.0,1072083.0,2025,Spring
06uL9DFk,zE4TK1,Selmir,Pidro,STL,D,325000.0,374375.0,2025,Spring
0FKBl1yK,CpdcXE,Shaq,Moore,DAL,D,700000.0,770000.0,2025,Spring
0GYjDjzK,jY2OJb,Dean,Boltz,CHI,F,80622.0,82622.0,2025,Spring
0KtLRMWo,JQDrzI,George,Marks,CLT,GK,104000.0,104000.0,2025,Spring
0N7X5Ih8,GSCEWA,Dylan,Borso,CHI,M,80622.0,88622.0,2025,Spring
0ORJqlhK,lvxNMl,Ranko,Veselinovic,VAN,D,670000.0,737125.0,2025,Spring
0qrDUexY,38ZdDX,Ian,Smith,POR,D,80622.0,80622.0,2025,Spring
0rnxPfk0,Pk1XaN,Alessandro,Biello,MTL,M,80622.0,80622.0,2025,Spring
0UwWnmv3,WLFxNl,Micah,Burton,ATX,M,104000.0,115000.0,2025,Spring
0uYUW5W4,8s5v7I,Samuel,Shashoua,MNUFC,F,104000.0,104833.0,2025,Spring
0vaSPxCU,mzyAr6,Hamady,Diop,SD,D,115000.0,122500.0,2025,Spring
151Pnj7l,ZMYyf6,Hakim,Karamoko,DC,F,80622.0,80622.0,2025,Spring
1ewhPlLd,w1GUgF,Andrew,Rick,PHI,GK,80622.0,90537.0,2025,Spring
1fiIhcIh,gBhxcT,Obed,Vargas,SEA,M,125000.0,134452.0,2025,Spring
1HiB880r,cgMOrY,Gavin,Turner,DC,M,80622.0,102856.0,2025,Spring
1ipnwz8m,f7rRzt,Nick,Lima,SJ,D,375000.0,375000.0,2025,Spring
1LxWem76,E3ukys,Jeremy,Ebobisse,LAFC,F,680000.0,680000.0,2025,Spring
1NshlC4B,zmwhuJ,Joakim,Nilsson,STL,D,1187250.0,1255750.0,2025,Spring
1Nwc6TxM,czVSMH,Neil,Pierre,PHI,D,80622.0,97020.0,2025,Spring
1qLMzpJA,LmvogD,Hannes,Wolf,NYC,F,1400000.0,1510000.0,2025,Spring
1sMcd27m,BTmKx4,Diego,Pepi,DAL,F,80622.0,80622.0,2025,Spring
1stwtR78,yftAuU,Ibrahim,Aliyu,CLB,F,474996.0,526375.0,2025,Spring
1vwl7Ty8,CkxEaC,CJ,dos Santos,SD,GK,125000.0,130300.0,2025,Spring
1WIPew85,8qrLjT,Julian,Aude,LA,D,350000.0,360000.0,2025,Spring
1XqVmzQV,mArhhE,Ariel,Lassiter,POR,F,315000.0,348000.0,2025,Spring
21DiPkoj,AdtYHT,Jonathan,Bond,HOU,GK,400000.0,459704.0,2025,Spring
22ZeqZ87,KQDDVG,Gaston,Brugman,NSH,M,1200000.0,1409000.0,2025,Spring
23CasmVz,Yln0X2,Ariath,Piol,RSL,F,282000.0,336859.0,2025,Spring
24J34a75,bSDoWT,Jake,Davis,KC,D,400000.0,412500.0,2025,Spring
25E4WLkW,rcwVSu,Alex,Mighten,SD,F,250000.0,257292.0,2025,Spring
2AlrMEdq,2smYNS,Memo,Rodriguez,KC,M,104000.0,114966.0,2025,Spring
2gAGrfAH,HDcb35,Emeka,Eneli,RSL,M,375000.0,416000.0,2025,Spring
2OxbPB5O,87f2Ll,Kristijan,Kahlina,CLT,GK,750000.0,788750.0,2025,Spring
2RQPmzqY,pCOY3D,Kaick,da Silva Ferreira,DAL,M,150000.0,201900.0,2025,Spring
2V3SlAqz,fjiFpL,Sam,Adekugbe,VAN,D,875000.0,963000.0,2025,Spring
2wfoR1cT,XQ9ZMa,Aljaz,Ivacic,NE,GK,540000.0,625000.0,2025,Spring
2x5KDBU0,5NmNkE,Brady,Scott,LA,GK,104000.0,104000.0,2025,Spring
31twI7iL,AiYSce,Matus,Kmet,MNUFC,D,195000.0,212469.0,2025,Spring
35HZ0s4F,OPpaUR,Adam,Esparza-Saldana,LAFC,M,80622.0,80622.0,2025,Spring
37DIb0CR,mmsVnn,Cody,Baker,SEA,D,104000.0,109704.0,2025,Spring
37glHVui,uu6Mba,Bode,Hidalgo,RSL,D,275000.0,305800.0,2025,Spring
37gLSQhU,FeTuav,Oscar,Verhoeven,SJ,D,125000.0,138395.0,2025,Spring
3DohFYLT,MWncZP,Maya,Yoshida,LA,D,455000.0,526281.0,2025,Spring
