id,playerid,firstname,lastname,club,position,basesalary,guaranteedcomp,recordyear,recordseason
OJ4aJ2P9,,Adrian,Gill,ATL,M,88025.00,88025.00,2026,Spring
hTTw1oML,,Adyn,Torres,ATL,M,120000.00,120000.00,2026,Spring
fc2h9udc,,Ajani,Fortune,ATL,M,120000.00,120000.00,2026,Spring
wpWZir6T,,Aleksey,Miranchuk,ATL,M,3800000.00,5085441.00,2026,Spring
DHlo18oK,,Ashton,Gordon,ATL,F,88025.00,88025.00,2026,Spring
40prUNPP,,Cayman,Togashi,ATL,F,113400.00,113400.00,2026,Spring
FXxeNJNo,,Cooper,Sanchez,ATL,M,88025.00,88025.00,2026,Spring
yPqK9waW,,Dominik,Chong Qui,ATL,D,88025.00,88025.00,2026,Spring
AoCmAQGi,,Elias,Baez,ATL,D,264706.00,293706.00,2026,Spring
SN3bZYOf,,Emmanuel,Latte Lath,ATL,F,3240000.00,3736000.00,2026,Spring
SYQpXHky,,Enea,Mihaj,ATL,D,1215000.00,1557000.00,2026,Spring
KyiuLq4v,,Fafa,Picault,ATL,F,113400.00,142250.00,2026,Spring
fpsxYXst,,Jayden,Hibbert,ATL,GK,113400.00,113400.00,2026,Spring
JZYTAgYa,,Juan,Berrocal,ATL,D,1424666.64,1424666.64,2026,Spring
mHG1d6U2,,Lucas,Hoyos,ATL,GK,315000.00,342667.00,2026,Spring
yGglpdUa,,Luke,Brennan,ATL,M,125000.00,125000.00,2026,Spring
UYxcV5Sc,,Matias,Galarza,ATL,M,720000.00,945413.00,2026,Spring
dz8Am7rr,,Matthew,Edwards,ATL,D,113400.00,113400.00,2026,Spring
apEaVdwe,,Miguel,Almiron,ATL,F,6056000.00,7871000.00,2026,Spring
jNTzcgWe,,Pedro,Amador,ATL,D,256992.00,292604.00,2026,Spring
fLYZVk8O,,Ronald,Hernandez,ATL,D,145000.00,159000.00,2026,Spring
QJU3VLGt,,Saba,Lobjanidze,ATL,F,900000.00,998750.00,2026,Spring
we52mnAg,,Santiago,Pita,ATL,M,88025.00,88025.00,2026,Spring
plgi8hWn,,Sergio,Santos,ATL,F,113400.00,171000.00,2026,Spring
NxfQVrIl,,Steven,Alzate,ATL,M,1062186.00,1377087.00,2026,Spring
JfY5m3fH,,Stian,Gregersen,ATL,D,850000.00,970000.00,2026,Spring
vRURLXaE,,Tomas,Jacob,ATL,D,525000.00,642500.00,2026,Spring
PC59hjI6,,Tristan,Muyumba,ATL,M,600000.00,641600.00,2026,Spring
nSJemHOH,,Will,Reilly,ATL,M,88025.00,88025.00,2026,Spring
Z3UY0QWH,,Besard,Sabovic,ATX,M,650000.00,650000.00,2026,Spring
DmspXzCm,,Brad,Stuver,ATX,GK,600000.00,631667.00,2026,Spring
L2Ttowc7,,Brandon,Vazquez,ATX,F,3350000.00,3701778.00,2026,Spring
r2fMtlPI,,Brendan,Hines-Ike,ATX,D,375000.00,375000.00,2026,Spring
ujGNCoYc,,Christian,Ramirez,ATX,F,525000.00,577500.00,2026,Spring
Msm9FKQ7,,CJ,Fodrey,ATX,F,120000.00,120000.00,2026,Spring
VZkUAiVE,,Damian,Las,ATX,GK,175000.00,175000.00,2026,Spring
cZGbjPwV,,Daniel,Pereira,ATX,M,750000.00,793750.00,2026,Spring
PQVX99BP,,Ervin,Torres,ATX,M,88025.00,104525.00,2026,Spring
FYjtTAxm,,Facundo,Torres,ATX,F,3360000.00,4405000.00,2026,Spring
ARU5ICva,,Guilherme,da Trindade Dubas,ATX,D,325000.00,325000.00,2026,Spring
EYEse11e,,Ilie,Sanchez,ATX,M,225000.00,225000.00,2026,Spring
