id,playerid,firstname,lastname,club,position,basesalary,guaranteedcomp,recordyear,recordseason
QzsxkFxp,CFPtG6,Aleksey,Miranchuk,ATL,M,3600000.00,4885441.00,2025,Fall
O0Jn6skA,13lcYk,Emmanuel,Latte Lath,ATL,F,3534546.00,4030546.00,2025,Fall
j4gbG5Mx,VdIWRS,Jamal,Thiare,ATL,F,700000.00,730000.00,2025,Fall
jOHTm6fl,iINwu5,Cayman,Togashi,ATL,F,104000.00,104000.00,2025,Fall
hFRPJrAj,NEW,Enea,Mihaj,ATL,D,1030000.00,1372000.00,2025,Fall
HkkrYOS6,NEW,Juan,Berrocal,ATL,D,1200000.00,1200000.00,2025,Fall
mhhfYMNk,6Qcol5,Stian,Gregersen,ATL,D,800000.00,920000.00,2025,Fall
68jQAm5S,v03u0L,Noah,Cobb,ATL,D,109000.00,109000.00,2025,Fall
V4csvEGV,iMbWNu,Will,Reilly,ATL,M,80622.00,80622.00,2025,Fall
KChIUlch,NEW,Cooper,Sanchez,ATL,M,80622.00,80622.00,2025,Fall
5kdV5oBS,NEW,Steven,Alzate,ATL,M,1125200.00,1440101.00,2025,Fall
byPC2Its,rvqZty,Ajani,Fortune,ATL,M,109000.00,109000.00,2025,Fall
7ZcCxISm,jHPTZb,Tristan,Muyumba,ATL,M,550000.00,591600.00,2025,Fall
zdDOpmX3,4CzH4D,Bartosz,Slisz,ATL,M,670000.00,870000.00,2025,Fall
FS8LuB9R,jyW2kU,Adyn,Torres,ATL,M,80622.00,80622.00,2025,Fall
tS0AM9Ri,Fodh6x,Josh,Cohen,ATL,GK,289992.00,328492.00,2025,Fall
XNhca92L,TSHlD9,Brad,Guzan,ATL,GK,300000.00,312500.00,2025,Fall
QxlnOZBk,K7cdAu,Jayden,Hibbert,ATL,GK,80622.00,80622.00,2025,Fall
stlxTbyS,P9f6k8,Edwin,Mosquera,ATL,F,425000.00,455833.00,2025,Fall
HAL4qrwk,Sd3CPm,Leo,Afonso,ATL,F,80622.00,80622.00,2025,Fall
aqvNrigE,8qseAK,Saba,Lobjanidze,ATL,F,900000.00,998750.00,2025,Fall
1HoQCkNX,3t1V43,Dominik,Chong Qui,ATL,D,80622.00,80622.00,2025,Fall
POpe0Jgk,PSfw6K,Pedro,Amador,ATL,D,231996.00,267608.00,2025,Fall
NIw5MWCj,nlCGGD,Luke,Brennan,ATL,M,104000.00,104000.00,2025,Fall
8kIkHyRE,TZPL5W,Miguel,Almiron,ATL,F,6056000.00,7871000.00,2025,Fall
cQ7MwUv0,us15aP,Ashton,Gordon,ATL,F,80622.00,80622.00,2025,Fall
clXFtAJU,TZkpqQ,Matthew,Edwards,ATL,D,80622.00,80622.00,2025,Fall
G6crTf30,NEW,Nyk,Sessock,ATL,D,104000.00,104000.00,2025,Fall
zMiOYMAO,V0zIVU,Ronald,Hernandez,ATL,D,275000.00,290750.00,2025,Fall
vN1SRHb9,1nJPWi,Brooks,Lennon,ATL,D,740000.00,740000.00,2025,Fall
ojVhYa41,WLFxNl,Micah,Burton,ATX,M,104000.00,115000.00,2025,Fall
szXQN5rD,NwqA5q,Brandon,Vazquez,ATX,F,3200000.00,3551778.00,2025,Fall
dsDobz0a,0Ga9Kv,Diego,Rubio,ATX,F,208000.00,208000.00,2025,Fall
nh4R5bEW,yHmc9W,Brendan,Hines-Ike,ATX,D,325000.00,325000.00,2025,Fall
1RpYxGTa,dtkLkk,Julio,Cascante,ATX,D,780000.00,853750.00,2025,Fall
ZW4cyAHo,Jhh1Q8,Oleksandr,Svatok,ATX,D,500000.00,505000.00,2025,Fall
vrb1rO0Z,NEW,Mateja,Djordjevic,ATX,D,337500.00,347500.00,2025,Fall
GhPeEXnH,nNfJHS,Nicolas,Dubersarsky,ATX,M,275000.00,297986.00,2025,Fall
EbEZYaY3,BPbL12,Besard,Sabovic,ATX,M,550000.00,550000.00,2025,Fall
PzSXZlA1,5pWuqU,Owen,Wolff,ATX,M,208000.00,221600.00,2025,Fall
