firstname,lastname,club,position,basesalary,guaranteedcomp
Adrian,Gill,ATL,M,"$88,025.00","$88,025.00"
Adyn,Torres,ATL,M,"$120,000.00","$120,000.00"
Ajani,Fortune,ATL,M,"$120,000.00","$120,000.00"
Aleksey,Miranchuk,ATL,M,"$3,800,000.00","$5,085,441.00"
Ashton,Gordon,ATL,F,"$88,025.00","$88,025.00"
Cayman,Togashi,ATL,F,"$113,400.00","$113,400.00"
Cooper,Sanchez,ATL,M,"$88,025.00","$88,025.00"
Dominik,Chong Qui,ATL,D,"$88,025.00","$88,025.00"
Elías,Báez,ATL,D,"$264,706.00","$293,706.00"
Emmanuel,Latte Lath,ATL,F,"$3,240,000.00","$3,736,000.00"
Enea,Mihaj,ATL,D,"$1,215,000.00","$1,557,000.00"
Fafà,Picault,ATL,F,"$113,400.00","$142,250.00"
Jayden,Hibbert,ATL,GK,"$113,400.00","$113,400.00"
Juan,Berrocal,ATL,D,"$1,424,666.64","$1,424,666.64"
Lucas,Hoyos,ATL,GK,"$315,000.00","$342,667.00"
Luke,Brennan,ATL,M,"$125,000.00","$125,000.00"
Matías,Galarza,ATL,M,"$720,000.00","$945,413.00"
Matthew,Edwards,ATL,D,"$113,400.00","$113,400.00"
Miguel,Almirón,ATL,F,"$6,056,000.00","$7,871,000.00"
Pedro,Amador,ATL,D,"$256,992.00","$292,604.00"
Ronald,Hernández,ATL,D,"$145,000.00","$159,000.00"
Saba,Lobjanidze,ATL,F,"$900,000.00","$998,750.00"
Santiago,Pita,ATL,M,"$88,025.00","$88,025.00"
Sergio,Santos,ATL,F,"$113,400.00","$171,000.00"
Steven,Alzate,ATL,M,"$1,062,186.00","$1,377,087.00"
Stian,Gregersen,ATL,D,"$850,000.00","$970,000.00"
Tomás,Jacob,ATL,D,"$525,000.00","$642,500.00"
Tristan,Muyumba,ATL,M,"$600,000.00","$641,600.00"
Will,Reilly,ATL,M,"$88,025.00","$88,025.00"
Besard,Šabović,ATX,M,"$650,000.00","$650,000.00"
Brad,Stuver,ATX,GK,"$600,000.00","$631,667.00"
Brandon,Vazquez,ATX,F,"$3,350,000.00","$3,701,778.00"
Brendan,Hines-Ike,ATX,D,"$375,000.00","$375,000.00"
Christian,Ramirez,ATX,F,"$525,000.00","$577,500.00"
CJ,Fodrey,ATX,F,"$120,000.00","$120,000.00"
Damian,Las,ATX,GK,"$175,000.00","$175,000.00"
Daniel,Pereira,ATX,M,"$750,000.00","$793,750.00"
Ervin,Torres,ATX,M,"$88,025.00","$104,525.00"
Facundo,Torres,ATX,F,"$3,360,000.00","$4,405,000.00"
Guilherme,da Trindade Dubas,ATX,D,"$325,000.00","$325,000.00"
Ilie,Sánchez,ATX,M,"$225,000.00","$225,000.00"
Jayden,Nelson,ATX,F,"$499,999.92","$554,000.00"
Jon,Gallagher,ATX,D,"$400,000.00","$400,000.00"
Jon,Bell,ATX,D,"$225,000.00","$225,000.00"
Joseph,Rosales,ATX,D,"$500,000.00","$529,875.00"
Mateja,Djordjević,ATX,D,"$325,000.00","$335,000.00"
Micah,Burton,ATX,M,"$125,000.00","$136,000.00"
Mikkel,Desler,ATX,D,"$550,000.00","$550,000.00"
Myrto,Uzuni,ATX,F,"$1,600,000.00","$2,305,000.00"
Nicolás,Dubersarsky,ATX,M,"$325,000.00","$347,986.00"
Oleksandr,Svatok,ATX,D,"$575,000.00","$580,000.00"
Owen,Wolff,ATX,M,"$750,000.00","$750,000.00"
Riley,Thomas,ATX,D,"$88,025.00","$88,025.00"
Robert,Taylor,ATX,F,"$575,000.00","$633,333.00"
Žan,Kolmanič,ATX,D,"$375,000.00","$375,000.00"
Aleksandr,Guboglo,MTL,D,"$88,025.00","$93,714.00"
Bode,Hidalgo,MTL,D,"$290,000.00","$320,800.00"
Brandan,Craig,MTL,D,"$88,025.00","$97,830.00"
Brayan,Vera,MTL,D,"$650,000.00","$748,000.00"
Dagur Dan,Thórhallsson,MTL,D,"$480,000.00","$530,625.00"
Daniel,Ríos,MTL,F,"$225,000.00","$237,066.00"
Dawid,Bugaj,MTL,D,"$240,000.00","$267,600.00"
Efraín,Morales,MTL,D,"$400,000.00","$451,250.00"
Emil,Gazdov,MTL,GK,"$88,025.00","$96,172.00"
Fabian,Herbers,MTL,F,"$400,000.00","$440,000.00"
Félix,Samson,MTL,D,"$88,025.00","$91,740.00"
Gennadiy,Synchuk,MTL,F,"$600,000.00","$606,000.00"
Ivan,Losenko,MTL,M,"$210,000.00","$248,000.00"
Iván,Jaime,MTL,M,"$1,920,000.00","$2,111,200.00"
Jalen,Neal,MTL,D,"$675,000.00","$756,250.00"
Josh,Nteziryayo,MTL,M,"$88,025.00","$91,120.00"
Luca,Petrasso,MTL,D,"$119,600.00","$134,736.00"
Mahala,Opoku,MTL,F,"$583,333.00","$723,560.00"
Matty,Longstaff,MTL,M,"$416,000.00","$435,869.00"
Noah,Streit,MTL,F,"$400,000.00","$451,333.00"
Olger,Escobar,MTL,M,"$88,025.00","$93,421.00"
Owen,Graham-Roache,MTL,F,"$88,025.00","$93,915.00"
Prince,Owusu,MTL,F,"$1,300,000.00","$1,330,000.00"
Samsy,Keita,MTL,GK,"$88,025.00","$102,637.00"
Samuel,Piette,MTL,M,"$535,250.00","$621,016.00"
Sébastian,Breza,MTL,GK,"$113,400.00","$123,400.00"
Sunusi,Ibrahim,MTL,F,"$350,000.00","$410,000.00"
Thomas,Gillier,MTL,GK,"$445,000.00","$487,000.00"
Tomás,Avilés,MTL,D,"$495,000.00","$522,500.00"
Victor,Loturi,MTL,M,"$135,000.00","$146,500.00"
Wikelman,Carmona,MTL,M,"$550,000.00","$555,000.00"
Andrew,Johnson,CLT,D,"$88,025.00","$89,309.00"
Andrew,Privett,CLT,D,"$250,000.00","$281,400.00"
Archie,Goodwin,CLT,F,"$325,000.00","$366,187.00"
Ashley,Westwood,CLT,M,"$800,000.00","$833,333.00"
Baye,Coulibaly,CLT,M,"$300,000.00","$329,500.00"
Brandt,Bronico,CLT,M,"$500,000.00","$551,667.00"
Brian,Romero,CLT,F,"$175,000.00","$185,833.00"
Chituru,Odunze,CLT,GK,"$125,000.00","$138,508.00"
David,Schnegg,CLT,D,"$650,000.00","$756,250.00"
Djibril,Diani,CLT,M,"$350,000.00","$387,944.00"
Harry,Toffolo,CLT,D,"$900,000.00","$1,020,000.00"
Henry,Kessler,CLT,D,"$850,000.00","$965,525.00"
Idan,Toklomati,CLT,F,"$700,000.00","$781,500.00"
Isaac,Walker,CLT,GK,"$113,400.00","$121,376.00"
Jack,Neeley,CLT,D,"$140,000.00","$142,000.00"
Kerwin,Vargas,CLT,F,"$650,000.00","$733,750.00"
Kristijan,Kahlina,CLT,GK,"$775,000.00","$813,750.00"
Liel,Abada,CLT,F,"$2,500,000.00","$2,648,500.00"
Luca,de la Torre,CLT,M,"$1,457,386.00","$1,611,827.00"
Mikah,Thomas,CLT,D,"$88,025.00","$88,428.00"
Morrison,Agyemang,CLT,D,"$240,000.00","$262,080.00"
Nathan,Byrne,CLT,D,"$475,000.00","$498,750.00"
Nick,Holliday,CLT,GK,"$88,025.00","$88,025.00"
Nimfasha,Berchimas,CLT,F,"$150,000.00","$164,934.00"
Pep,Biel,CLT,M,"$2,775,000.00","$3,015,563.00"
Tim,Ream,CLT,D,"$1,000,000.00","$1,127,750.00"
Tyger,Smalls,CLT,F,"$113,400.00","$113,400.00"
Tyler,Miller,CLT,GK,"$226,800.00","$250,925.00"
Wilfried,Zaha,CLT,F,"$2,666,667.00","$2,751,667.00"
Will,Cleary,CLT,D,"$88,025.00","$89,309.00"
Rodolfo,Aloko,CLT,F,"$220,000.00","$251,667.00"
André,Franco,CHI,M,"$1,200,000.00","$1,306,771.00"
Andrew,Gutman,CHI,D,"$625,000.00","$625,000.00"
Anton,Salétros,CHI,M,"$700,000.00","$750,000.00"
Chris,Mueller,CHI,F,"$150,000.00","$186,600.00"
Chris,Brady,CHI,GK,"$250,000.00","$348,333.00"
Christopher,Cupps,CHI,D,"$113,400.00","$116,186.00"
David,Poreba,CHI,M,"$88,025.00","$98,858.00"
Dean,Boltz,CHI,F,"$88,025.00","$90,025.00"
Djé,D'Avilla,CHI,M,"$573,000.00","$685,486.00"
Dylan,Borso,CHI,F,"$113,400.00","$121,400.00"
Hugo,Cuypers,CHI,F,"$3,238,000.00","$3,528,044.00"
Jack,Elliott,CHI,D,"$960,511.00","$1,054,275.00"
Jason,Shokalook,CHI,F,"$88,025.00","$88,025.00"
Jeff,Gal,CHI,GK,"$150,000.00","$165,000.00"
Joel,Waterman,CHI,D,"$517,000.00","$598,150.00"
Jonathan,Dean,CHI,D,"$175,000.00","$210,700.00"
Jonathan,Bamba,CHI,F,"$5,000,000.00","$5,581,806.00"
Josh,Cohen,CHI,GK,"$165,000.00","$181,250.00"
Leonardo,Barroso,CHI,D,"$350,000.00","$395,500.00"
Maren,Haile-Selassie,CHI,M,"$444,000.00","$483,500.00"
Mauricio,Pineda,CHI,D,"$200,000.00","$320,157.00"
Mbekezeli,Mbokazi,CHI,D,"$593,000.00","$655,620.00"
Omari,Glasgow,CHI,M,"$113,400.00","$127,085.00"
Philip,Zinckernagel,CHI,F,"$1,455,125.00","$1,635,665.00"
Puso,Dithejane,CHI,F,"$250,000.00","$283,252.00"
Robert,Turdean,CHI,M,"$125,000.00","$157,927.00"
Robin,Lod,CHI,M,"$800,000.00","$866,667.00"
Sam,Williams,CHI,M,"$88,025.00","$99,354.00"
Sam,Rogers,CHI,D,"$200,000.00","$223,000.00"
Sergio,Oregel,CHI,M,"$350,000.00","$392,500.00"
Viktor,Radojević,CHI,D,"$350,000.00","$357,000.00"
Adam,Beaudry,COL,GK,"$113,400.00","$115,900.00"
Alex,Harris,COL,F,"$88,025.00","$90,025.00"
Alexis,Manyoma,COL,F,"$654,000.00","$711,750.00"
Ali,Fadal,COL,M,"$113,400.00","$113,400.00"
Bryce,Jamison,COL,F,"$113,400.00","$125,866.00"
Connor,Ronan,COL,M,"$510,000.00","$562,400.00"
Dante,Sealy,COL,F,"$150,000.00","$168,022.00"
Darren,Yapi,COL,F,"$795,000.00","$820,000.00"
Donavan,Phillip,COL,F,"$88,025.00","$88,025.00"
Georgi,Minoungou,COL,F,"$113,400.00","$113,400.00"
Hamzat,Ojediran,COL,M,"$800,000.00","$881,667.00"
Ian,Murphy,COL,D,"$400,000.00","$447,500.00"
Jackson,Travis,COL,D,"$125,000.00","$127,500.00"
Josh,Atencio,COL,M,"$462,500.00","$462,500.00"
Keegan,Rosenberry,COL,D,"$300,000.00","$300,000.00"
Kimani,Stewart-Baynes,COL,F,"$115,000.00","$116,000.00"
Kosi,Thompson,COL,D,"$140,000.00","$145,260.00"
Lucas,Herrington,COL,D,"$200,004.00","$235,004.00"
Mamadou Billo,Diop,COL,F,"$88,025.00","$88,025.00"
Miguel,Navarro,COL,D,"$498,000.00","$548,781.00"
Nicolas,Hansen,COL,GK,"$160,000.00","$160,000.00"
Noah,Cobb,COL,D,"$130,000.04","$130,000.04"
Paxten,Aaronson,COL,M,"$2,000,000.00","$2,228,063.00"
Rafael,Navarro Leal,COL,F,"$1,392,000.00","$1,449,600.00"
Reggie,Cannon,COL,D,"$750,000.00","$841,500.00"
Rob,Holding,COL,D,"$1,200,000.00","$1,200,000.00"
Sydney,Wathuta,COL,M,"$88,025.00","$88,025.00"
Theodore,Ku-DiPietro,COL,M,"$500,000.00","$556,000.00"
Wayne,Frederick,COL,M,"$113,400.00","$113,400.00"
Zack,Steffen,COL,GK,"$1,100,000.00","$1,100,000.00"
Amar,Sejdić,CLB,M,"$200,000.00","$214,550.00"
André,Gomes,CLB,M,"$875,000.00","$971,944.00"
Andrés,Herrera,CLB,D,"$650,000.00","$727,632.00"
Cesar,Ruvalcaba,CLB,D,"$113,400.00","$113,400.00"
Chase,Adams,CLB,F,"$88,025.00","$114,303.00"
Cole,Mrowka,CLB,M,"$113,400.00","$133,408.00"
Dániel,Gazdag,CLB,M,"$2,049,996.00","$2,647,635.00"
Diego,Rossi,CLB,M,"$2,775,000.00","$3,476,827.00"
Dylan,Chambost,CLB,M,"$600,000.00","$695,250.00"
Evan,Bush,CLB,GK,"$113,400.00","$113,400.00"
Hugo,Picard,CLB,M,"$725,000.00","$781,244.00"
Jamal,Thiaré,CLB,F,"$500,000.00","$530,000.00"
Luke,Pruter,CLB,GK,"$113,400.00","$113,400.00"
Malte,Amundsen,CLB,D,"$675,000.00","$747,500.00"
Max,Arfsten,CLB,F,"$800,000.00","$895,000.00"
Mohamed,Farsi,CLB,M,"$500,000.00","$530,000.00"
Nariman,Akhundzada,CLB,F,"$550,000.00","$633,389.00"
