id,playerid,firstname,lastname,club,position,basesalary,guaranteedcomp,recordyear,recordseason
OJ4aJ2P9,gbw005,Adrian,Gill,ATL,M,88025.00,88025.00,2026,Spring
hTTw1oML,jyW2kU,Adyn,Torres,ATL,M,120000.00,120000.00,2026,Spring
fc2h9udc,rvqZty,Ajani,Fortune,ATL,M,120000.00,120000.00,2026,Spring
wpWZir6T,CFPtG6,Aleksey,Miranchuk,ATL,M,3800000.00,5085441.00,2026,Spring
DHlo18oK,us15aP,Ashton,Gordon,ATL,F,88025.00,88025.00,2026,Spring
40prUNPP,iINwu5,Cayman,Togashi,ATL,F,113400.00,113400.00,2026,Spring
FXxeNJNo,FZJ7Aq,Cooper,Sanchez,ATL,M,88025.00,88025.00,2026,Spring
yPqK9waW,3t1V43,Dominik,Chong Qui,ATL,D,88025.00,88025.00,2026,Spring
AoCmAQGi,BFv2aG,Elias,Baez,ATL,D,264706.00,293706.00,2026,Spring
SN3bZYOf,13lcYk,Emmanuel,Latte Lath,ATL,F,3240000.00,3736000.00,2026,Spring
SYQpXHky,QLQm6X,Enea,Mihaj,ATL,D,1215000.00,1557000.00,2026,Spring
KyiuLq4v,qrh3Cx,Fafa,Picault,ATL,F,113400.00,142250.00,2026,Spring
fpsxYXst,K7cdAu,Jayden,Hibbert,ATL,GK,113400.00,113400.00,2026,Spring
JZYTAgYa,gxX8vY,Juan,Berrocal,ATL,D,1424666.64,1424666.64,2026,Spring
mHG1d6U2,UZ9F4a,Lucas,Hoyos,ATL,GK,315000.00,342667.00,2026,Spring
yGglpdUa,nlCGGD,Luke,Brennan,ATL,M,125000.00,125000.00,2026,Spring
UYxcV5Sc,Qer1LH,Matias,Galarza,ATL,M,720000.00,945413.00,2026,Spring
dz8Am7rr,TZkpqQ,Matthew,Edwards,ATL,D,113400.00,113400.00,2026,Spring
apEaVdwe,TZPL5W,Miguel,Almiron,ATL,F,6056000.00,7871000.00,2026,Spring
jNTzcgWe,PSfw6K,Pedro,Amador,ATL,D,256992.00,292604.00,2026,Spring
fLYZVk8O,V0zIVU,Ronald,Hernandez,ATL,D,145000.00,159000.00,2026,Spring
QJU3VLGt,8qseAK,Saba,Lobjanidze,ATL,F,900000.00,998750.00,2026,Spring
we52mnAg,QkgnMe,Santiago,Pita,ATL,M,88025.00,88025.00,2026,Spring
plgi8hWn,79OJAO,Sergio,Santos,ATL,F,113400.00,171000.00,2026,Spring
NxfQVrIl,C9PACN,Steven,Alzate,ATL,M,1062186.00,1377087.00,2026,Spring
JfY5m3fH,6Qcol5,Stian,Gregersen,ATL,D,850000.00,970000.00,2026,Spring
vRURLXaE,wh3Vec,Tomas,Jacob,ATL,D,525000.00,642500.00,2026,Spring
PC59hjI6,jHPTZb,Tristan,Muyumba,ATL,M,600000.00,641600.00,2026,Spring
nSJemHOH,iMbWNu,Will,Reilly,ATL,M,88025.00,88025.00,2026,Spring
Z3UY0QWH,BPbL12,Besard,Sabovic,ATX,M,650000.00,650000.00,2026,Spring
DmspXzCm,lzs93F,Brad,Stuver,ATX,GK,600000.00,631667.00,2026,Spring
L2Ttowc7,NwqA5q,Brandon,Vazquez,ATX,F,3350000.00,3701778.00,2026,Spring
r2fMtlPI,yHmc9W,Brendan,Hines-Ike,ATX,D,375000.00,375000.00,2026,Spring
ujGNCoYc,nfLoGS,Christian,Ramirez,ATX,F,525000.00,577500.00,2026,Spring
Msm9FKQ7,WGEBg3,CJ,Fodrey,ATX,F,120000.00,120000.00,2026,Spring
VZkUAiVE,oH7Fxd,Damian,Las,ATX,GK,175000.00,175000.00,2026,Spring
cZGbjPwV,dLfDIg,Daniel,Pereira,ATX,M,750000.00,793750.00,2026,Spring
PQVX99BP,Zz8d41,Ervin,Torres,ATX,M,88025.00,104525.00,2026,Spring
FYjtTAxm,aNinpj,Facundo,Torres,ATX,F,3360000.00,4405000.00,2026,Spring
ARU5ICva,FIND,Guilherme,da Trindade Dubas,ATX,D,325000.00,325000.00,2026,Spring
EYEse11e,29D4Gu,Ilie,Sanchez,ATX,M,225000.00,225000.00,2026,Spring
5NWsyrs0,7mP8NJ,Jayden,Nelson,ATX,F,499999.92,554000.00,2026,Spring
huYvgTHH,43jSPg,Jon,Gallagher,ATX,D,400000.00,400000.00,2026,Spring
QwyTv3gG,vhIDoc,Jon,Bell,ATX,D,225000.00,225000.00,2026,Spring
njzbFlzr,cVyc3X,Joseph,Rosales,ATX,D,500000.00,529875.00,2026,Spring
EAhtKt7a,Eg6ox4,Mateja,Djordjevic,ATX,D,325000.00,335000.00,2026,Spring
qCyOvlee,WLFxNl,Micah,Burton,ATX,M,125000.00,136000.00,2026,Spring
fkIbWhlt,Blf7Fc,Mikkel,Desler,ATX,D,550000.00,550000.00,2026,Spring
h0JBZSa4,MoQt2Q,Myrto,Uzuni,ATX,F,1600000.00,2305000.00,2026,Spring
WRUqgBtC,nNfJHS,Nicolas,Dubersarsky,ATX,M,325000.00,347986.00,2026,Spring
QPfyd10k,Jhh1Q8,Oleksandr,Svatok,ATX,D,575000.00,580000.00,2026,Spring
VutqAOCg,5pWuqU,Owen,Wolff,ATX,M,750000.00,750000.00,2026,Spring
Ef6HDQxs,q8H2E1,Riley,Thomas,ATX,D,88025.00,88025.00,2026,Spring
iVyMuZXG,SPgG90,Robert,Taylor,ATX,F,575000.00,633333.00,2026,Spring
6LwOLkVw,dlqZl0,Zan,Kolmanic,ATX,D,375000.00,375000.00,2026,Spring
p1sHKPRg,M3POBc,Aleksandr,Guboglo,MTL,D,88025.00,93714.00,2026,Spring
fSlICGqe,uu6Mba,Bode,Hidalgo,MTL,D,290000.00,320800.00,2026,Spring
rF9zl1bH,vI3pK1,Brandan,Craig,MTL,D,88025.00,97830.00,2026,Spring
5tYc702a,AF59Q3,Brayan,Vera,MTL,D,650000.00,748000.00,2026,Spring
eg8I6wv4,UKGlUE,Dagur Dan,Thorhallsson,MTL,D,480000.00,530625.00,2026,Spring
QXjtMqw7,V2EkDZ,Daniel,Rios,MTL,F,225000.00,237066.00,2026,Spring
VoSw9knl,4gR2fP,Dawid,Bugaj,MTL,D,240000.00,267600.00,2026,Spring
VewBZPEE,1OJbyC,Efrain,Morales,MTL,D,400000.00,451250.00,2026,Spring
HufmzjIe,DL4VsM,Emil,Gazdov,MTL,GK,88025.00,96172.00,2026,Spring
EOYHkuQu,1LDgK5,Fabian,Herbers,MTL,F,400000.00,440000.00,2026,Spring
j8ujgCs1,ca7you,Felix,Samson,MTL,D,88025.00,91740.00,2026,Spring
iprjmZsr,1vbB6b,Gennadiy,Synchuk,MTL,F,600000.00,606000.00,2026,Spring
KxKXmOkn,dklGbX,Ivan,Losenko,MTL,M,210000.00,248000.00,2026,Spring
sxu8SY8g,V4RhJk,Ivan,Jaime,MTL,M,1920000.00,2111200.00,2026,Spring
sW131M1T,EsLVKp,Jalen,Neal,MTL,D,675000.00,756250.00,2026,Spring
LJjNn7mi,wzZuxT,Josh,Nteziryayo,MTL,M,88025.00,91120.00,2026,Spring
8Zs3fOEP,Vk7FKD,Luca,Petrasso,MTL,D,119600.00,134736.00,2026,Spring
JqJia651,mARyAy,Mahala,Opoku,MTL,F,583333.00,723560.00,2026,Spring
XsBBZyyY,lj8kGm,Matty,Longstaff,MTL,M,416000.00,435869.00,2026,Spring
uJET7but,iiwlFM,Noah,Streit,MTL,F,400000.00,451333.00,2026,Spring
VEt2G7ic,xw2FLC,Olger,Escobar,MTL,M,88025.00,93421.00,2026,Spring
898DHh3b,Hva2gm,Owen,Graham-Roache,MTL,F,88025.00,93915.00,2026,Spring
m5tkl69Y,HabI6S,Prince,Owusu,MTL,F,1300000.00,1330000.00,2026,Spring
9dj7DlG6,ERnl5v,Samsy,Keita,MTL,GK,88025.00,102637.00,2026,Spring
sMGzmVVw,MqzXVV,Samuel,Piette,MTL,M,535250.00,621016.00,2026,Spring
UnWrnC5v,EdFWkn,Sebastian,Breza,MTL,GK,113400.00,123400.00,2026,Spring
2Ig5lH94,pB4gDy,Sunusi,Ibrahim,MTL,F,350000.00,410000.00,2026,Spring
rbbC4VVw,WbaTf7,Thomas,Gillier,MTL,GK,445000.00,487000.00,2026,Spring
K4GPC3bP,tuVXNJ,Tomas,Aviles,MTL,D,495000.00,522500.00,2026,Spring
YE3BkYLX,dtgoTz,Victor,Loturi,MTL,M,135000.00,146500.00,2026,Spring
by2tthTo,gi1iMe,Wikelman,Carmona,MTL,M,550000.00,555000.00,2026,Spring
dH7uqoGq,40I4It,Andrew,Johnson,CLT,D,88025.00,89309.00,2026,Spring
Y0EPdr61,jGACcL,Andrew,Privett,CLT,D,250000.00,281400.00,2026,Spring
BHOM8NMl,ru2A0S,Archie,Goodwin,CLT,F,325000.00,366187.00,2026,Spring
GcfilkxX,IcG8LF,Ashley,Westwood,CLT,M,800000.00,833333.00,2026,Spring
Q1n2lEVn,ZT06dh,Baye,Coulibaly,CLT,M,300000.00,329500.00,2026,Spring
lQ6FPHbH,pzWJuF,Brandt,Bronico,CLT,M,500000.00,551667.00,2026,Spring
IKAAuzER,IxHodQ,Brian,Romero,CLT,F,175000.00,185833.00,2026,Spring
8qHEXHjN,wOAFU8,Chituru,Odunze,CLT,GK,125000.00,138508.00,2026,Spring
Mlib1OrY,2eTFFH,David,Schnegg,CLT,D,650000.00,756250.00,2026,Spring
UUO12F6v,zRireD,Djibril,Diani,CLT,M,350000.00,387944.00,2026,Spring
YnyEY9pv,IaVwTS,Harry,Toffolo,CLT,D,900000.00,1020000.00,2026,Spring
SQLB6Dw7,lg9JeM,Henry,Kessler,CLT,D,850000.00,965525.00,2026,Spring
K3dJ9ZUG,BMd3BX,Idan,Toklomati,CLT,F,700000.00,781500.00,2026,Spring
h7TKOvda,BCPXTJ,Isaac,Walker,CLT,GK,113400.00,121376.00,2026,Spring
XnkDOOGk,zyqc3Z,Jack,Neeley,CLT,D,140000.00,142000.00,2026,Spring
X4ZxPeYr,VPswnJ,Kerwin,Vargas,CLT,F,650000.00,733750.00,2026,Spring
ZBLzn1x2,87f2Ll,Kristijan,Kahlina,CLT,GK,775000.00,813750.00,2026,Spring
W5wTrVtf,99FASA,Liel,Abada,CLT,F,2500000.00,2648500.00,2026,Spring
kxcGacZF,cgdw2P,Luca,de la Torre,CLT,M,1457386.00,1611827.00,2026,Spring
SzfC497y,d0FqsB,Mikah,Thomas,CLT,D,88025.00,88428.00,2026,Spring
IqZAOcK3,pnPTkW,Morrison,Agyemang,CLT,D,240000.00,262080.00,2026,Spring
7uk588GL,jYKYCB,Nathan,Byrne,CLT,D,475000.00,498750.00,2026,Spring
JtJcSGCu,ejASxH,Nick,Holliday,CLT,GK,88025.00,88025.00,2026,Spring
1a4vPxLG,YdDy4k,Nimfasha,Berchimas,CLT,F,150000.00,164934.00,2026,Spring
9aP58hZc,SZbiw4,Pep,Biel,CLT,M,2775000.00,3015563.00,2026,Spring
hpY8Lce6,Iax3zA,Tim,Ream,CLT,D,1000000.00,1127750.00,2026,Spring
kkbWS9Lq,cyA3wp,Tyger,Smalls,CLT,F,113400.00,113400.00,2026,Spring
ZXxn6jMn,qeNGEl,Tyler,Miller,CLT,GK,226800.00,250925.00,2026,Spring
QYk1GOTF,fHhBTy,Wilfried,Zaha,CLT,F,2666667.00,2751667.00,2026,Spring
JMFKEsrt,83vcyy,Will,Cleary,CLT,D,88025.00,89309.00,2026,Spring
XjR5rc0w,bQvw3z,Rodolfo,Aloko,CLT,F,220000.00,251667.00,2026,Spring
cFbmdLVO,xQTIZg,Andre,Franco,CHI,M,1200000.00,1306771.00,2026,Spring
vpuj3NTZ,kFpXHv,Andrew,Gutman,CHI,D,625000.00,625000.00,2026,Spring
BttfyfZX,xkOEIt,Anton,Saletros,CHI,M,700000.00,750000.00,2026,Spring
ZlOnrDYY,78Dpi5,Chris,Mueller,CHI,F,150000.00,186600.00,2026,Spring
g8Ij89NL,jSVEZl,Chris,Brady,CHI,GK,250000.00,348333.00,2026,Spring
fQbekdMJ,fAwPr4,Christopher,Cupps,CHI,D,113400.00,116186.00,2026,Spring
HoC44te6,2PHWts,David,Poreba,CHI,M,88025.00,98858.00,2026,Spring
kxqE9v1T,jY2OJb,Dean,Boltz,CHI,F,88025.00,90025.00,2026,Spring
8y1l6bWs,LQsSNE,Dje,D'Avilla,CHI,M,573000.00,685486.00,2026,Spring
TQmC9D53,GSCEWA,Dylan,Borso,CHI,F,113400.00,121400.00,2026,Spring
1Zk5uAKW,qJ5dhG,Hugo,Cuypers,CHI,F,3238000.00,3528044.00,2026,Spring
oSjjyRnD,xXbNce,Jack,Elliott,CHI,D,960511.00,1054275.00,2026,Spring
eNt3ypUv,5e43nU,Jason,Shokalook,CHI,F,88025.00,88025.00,2026,Spring
uiVWNsJ6,TAEtpD,Jeff,Gal,CHI,GK,150000.00,165000.00,2026,Spring
YqqyNYY8,WsvaZY,Joel,Waterman,CHI,D,517000.00,598150.00,2026,Spring
jvGKWnN7,cMRRF2,Jonathan,Dean,CHI,D,175000.00,210700.00,2026,Spring
5nBbahUO,SmFbEB,Jonathan,Bamba,CHI,F,5000000.00,5581806.00,2026,Spring
