playerid,firstname,lastname
00T6Ej,Ridgewell,Liam
00zOaS,Saad,Soony
01zk3j,Cowell,Cade
02997t,Hernandez,Cristhian
02v8sR,Cardozo,Paolo
03Or2n,Murrell,Jacob
05GCRm,Owundi Eko'o,Bertrand
06b5kr,Ritter,Chris
07M6IE,Piquionne,Frederic
09jr8D,Aird,Fraser
0ajRtu,Luna,Ruben
0AOYM5,Thompson,Tommy
0bl2kx,Gomez,Diego
0bTbIs,Amundsen,Malte
0cevpB,Bernardello,Hernan
0CIzYc,Marcelin,James
0czVuX,Mbongue,Hugo
0dbiez,Ginella,Francisco
0DdCGo,Ochoa,Emmanuel
0DfiM2,Thiesson,Jerome
0DnY2O,Bustos,Marco
0eK4dK,Beaulieu,Jason
0EU0tK,Stratford,Dan
0eXSXd,Joveljic,Dejan
0fET2p,Gdula,Logan
0fLG6y,Kratz,Kevin
0FLUJS,Christianson,Ian
0fPCLN,Ofori,Curtis
0Ga9Kv,Rubio,Diego
0gcN4s,LaBrocca,Nick
0IIgX9,McKenzie,Rauwshan
0JG11E,Conway,Jon
0Ju0qk,Toure,Dantouma
0Jy055,Correa,Thiago
0kA55x,Johnson,Jason
0KJf7h,Newman,Enzo
0Kr0zx,Barnes,Darrius
0L3doh,O'Brien,Andy
0LaHrL,Kempin,Jon
0lvJVZ,Griffit,Leandre
0LZ5mW,Baptista,Julio
0mUlF1,Herrera,Aaron
0Od6b2,Bingham,David
0OkMJq,DelPiccolo,Paolo
0opGWm,Sorto,Oscar
0pIqV0,Riley,James
0pMCnt,Carducci,Marco
0QQcLy,Segares,Gonzalo
0r7pbb,Burciaga,Jose
0rg60E,Beasley,Jamar
0RUVdi,Manneh,Kekuta
0SAbS5,Kettering,Tyler
0Saj6H,Petkovic,Nikola
0tAqFI,Chapman,Jay
0tPJX4,Fisher,Kyle
0uWoW2,Zapata,Luis
0v0nse,Smith,Ryan
0vKkKt,Kounenakis,Nick
0VZrYj,Aias,Matheus
0w3B9f,Gulbrandsen,Fredrik
0ZT65B,Plotkin,Brian
10wWVk,Mendoza,Francisco
11AxVF,Zavarise,Gianluca
11FVg2,Ikbekeme,James
12uovN,Winn,Alan
134Lpr,Howard,Tim
13lcYk,Latte Lath,Emmanuel
14Kf39,Adebayo-Smith,Jordan
16fqIL,Aguilar,Abel
17m8qZ,Sebrango,Eduardo
1adn2Q,de Sousa Britto,Daniel
1BewLl,Gozo,Zavier
1BLqL4,Mosquera,Yerson
1caEYT,Bravo,Federico
1cbVOD,Zamora,Cesar
1chmpX,Kamara,Alhaji
1cL44d,Kpene,Guy
1dWXnK,Godoy,Anibal
1EDrUL,Putna,Andrew
1HH6Xx,Raines,Brooklyn
1hTilQ,Watts,Akil
1ImO5Z,Amarikwa,Quincy
1inGwd,Peralta,Gonzalo
1jmAav,Kerr,Deandre
1juTlj,Adnan,Ali
