id,playerid,firstname,lastname,club,position,basesalary,guaranteedcomp,recordyear,recordseason
kvIERT1c,nokVxF,Brenden,Aaronson,PHI,M-F,"70000.08","98309.48",2019,Fall
FLFrtIYG,nokVxF,Brenden,Aaronson,PHI,M,"85000.00","103309.00",2020,Fall
CCQ7EN1Z,3Gr5oW,Paxten,Aaronson,PHI,M,"87500.00","91500.00",2021,Fall
fzokVHiQ,3Gr5oW,Paxten,Aaronson,PHI,M,"107500.00","111500.00",2022,Fall
kNTn4h1t,3bsHJ5,Eddie,Ababio,COL,D,"32604.0","32604.0",2011,Fall
EpxGwGx3,99FASA,Liel,Abada,CLT,F,"2300000.00","2448500.00",2024,Fall
BSlXAJL7,99FASA,Liel,Abada,CLT,F,"2400000.00","2548500.00",2025,Spring
qzQIpuNk,D4Dzri,Anatole,Abang,RBNY,F,"50000.0","50000.0",2015,Fall
x2YjPyt6,D4Dzri,Anatole,Abang,RBNY,F,"62500.0","62500.0",2016,Fall
gNQV7SHV,D4Dzri,Anatole,Abang,RBNY,F,"65625.0","65625.0",2017,Fall
qqYeIgWZ,D4Dzri,Anatole,Abang,RBNY,F,"68927.00","68927.00",2018,Fall
NDGpRm4B,pJZUYh,Aminu,Abdallah,VAN,M,"46500.0","46500.0",2013,Fall
wd5hPCr1,TOEq8i,Saad,Abdul-Salaam,KC,D,"60000.0","73750.0",2015,Fall
40b4qyQi,TOEq8i,Saad,Abdul-Salaam,KC,D,"63000.0","76750.0",2016,Fall
krnyd6fX,TOEq8i,Saad,Abdul-Salaam,KC,D,"96800.0","110550.0",2017,Fall
4eXaLxlJ,TOEq8i,Saad,Abdul-Salaam,NYC,D,"106480.00","120230.00",2018,Fall
KG5GDLF0,TOEq8i,Saad,Abdul-Salaam,SEA,D,"70250.04","70250.04",2019,Fall
xkpdznlS,TOEq8i,Saad,Abdul-Salaam,CIN,D,"81375.00","90042.00",2020,Fall
GidNVaxL,TOEq8i,Saad,Abdul-Salaam,CLB,D,"125000.00","133667.00",2021,Fall
4AIsvy6h,2qrZkq,Luciano,Abecasis,SJ,D,"380000.00","394000.00",2021,Fall
COxxTZWz,fC3PEV,Ramon,Abila,DC,F,"800000.00","1105000.00",2021,Fall
U1muKx0m,WNcw6B,Luis,Abram,ATL,D,"556364.00","695977.00",2023,Fall
wQHx8QsV,WNcw6B,Luis,Abram,ATL,D,"732275.00","871888.00",2024,Fall
pP3DECk3,WNcw6B,Luis,Abram,ATL,D,"732275.00","871888.00",2025,Spring
tulIx73O,2G9oPa,Mohammed,Abu,CLB,M,"165000.0","171250.0",2017,Fall
560Eehjf,2G9oPa,Mohammed,Abu,CLB,M,"175008.00","181258.00",2018,Fall
oM47Id1r,2G9oPa,Mohammed,Abu,DC,M,"81375.00","81375.00",2020,Fall
