RecordID,PlayerID,Club,Position,BaseSalary,GuaranteedComp,Year
kvIERT1c,nokVxF,PHI,M-F,"70000.08","98309.48",2019
FLFrtIYG,nokVxF,PHI,M,"85000.00","103309.00",2020
CCQ7EN1Z,3Gr5oW,PHI,M,"87500.00","91500.00",2021
fzokVHiQ,3Gr5oW,PHI,M,"107500.00","111500.00",2022
kNTn4h1t,3bsHJ5,COL,D,"32604.0","32604.0",2011
EpxGwGx3,99FASA,CLT,F,"2300000.00","2448500.00",2024
BSlXAJL7,99FASA,CLT,F,"2400000.00","2548500.00",2025 Sp
qzQIpuNk,D4Dzri,RBNY,F,"50000.0","50000.0",2015
x2YjPyt6,D4Dzri,RBNY,F,"62500.0","62500.0",2016
gNQV7SHV,D4Dzri,RBNY,F,"65625.0","65625.0",2017
qqYeIgWZ,D4Dzri,RBNY,F,"68927.00","68927.00",2018
NDGpRm4B,pJZUYh,VAN,M,"46500.0","46500.0",2013
wd5hPCr1,TOEq8i,KC,D,"60000.0","73750.0",2015
40b4qyQi,TOEq8i,KC,D,"63000.0","76750.0",2016
krnyd6fX,TOEq8i,KC,D,"96800.0","110550.0",2017
4eXaLxlJ,TOEq8i,NYC,D,"106480.00","120230.00",2018
KG5GDLF0,TOEq8i,SEA,D,"70250.04","70250.04",2019
xkpdznlS,TOEq8i,CIN,D,"81375.00","90042.00",2020
GidNVaxL,TOEq8i,CLB,D,"125000.00","133667.00",2021
4AIsvy6h,2qrZkq,SJ,D,"380000.00","394000.00",2021
COxxTZWz,fC3PEV,DC,F,"800000.00","1105000.00",2021
U1muKx0m,WNcw6B,ATL,D,"556364.00","695977.00",2023
wQHx8QsV,WNcw6B,ATL,D,"732275.00","871888.00",2024
pP3DECk3,WNcw6B,ATL,D,"732275.00","871888.00",2025 Sp
tulIx73O,2G9oPa,CLB,M,"165000.0","171250.0",2017
560Eehjf,2G9oPa,CLB,M,"175008.00","181258.00",2018
oM47Id1r,2G9oPa,DC,M,"81375.00","81375.00",2020
i2ghFmsI,LGeMOB,CLB,D,"65000.04","72500.04",2017
Vykb9zsz,LGeMOB,CLB,D,"68250.04","75750.04",2018
UQX8U0If,LGeMOB,COL,D,"135000.00","144937.50",2019
bzLmHo6q,LGeMOB,COL,D,"145000.00","154937.00",2020
XqpuVwZB,LGeMOB,COL,D,"210000.00","247125.00",2021
LnhBU6KF,LGeMOB,COL,D,"235000.00","272125.00",2022
Z1gXkoIW,LGeMOB,COL,D,"665000.00","702125.00",2023
2e1SHmAB,LGeMOB,COL,D,"665000.00","702125.00",2024
