FirstName,LastName,Club,Position,BaseSalary,GuaranteedComp
Anatole,Abang,New York Red Bulls,F,"50000.0","50000.0"
Saad,Abdul-Salaam,Sporting Kansas City,D,"60000.0","73750.0"
David,Accam,Chicago Fire,F,"650000.0","720937.5"
Kellyn,Acosta,FC Dallas,M,"60000.0","84000.0"
Samuel,Adekugbe,Vancouver Whitecaps,D,"60000.0","65000.0"
Fanendo,Adi,Portland Timbers,F,"651500.0","664000.0"
Harrison,Afful,Columbus Crew,D,"150000.0","150000.0"
Juan,Agudelo,New England Revolution,F,"400000.0","427500.0"
Miguel,Aguilar,DC United,M,"60000.0","60000.0"
Tesho,Akindele,FC Dallas,F,"70000.0","87500.0"
Fatai,Alashe,San Jose Earthquakes,M,"60000.0","76250.0"
,Alex,Houston Dynamo,M,"142000.0","142000.0"
Eric,Alexander,CF Montreal,M,"140000.0","153750.0"
Jordan,Allen,Real Salt Lake,M/F,"80000.0","90000.0"
RJ,Allen,New York City FC,D,"60000.0","60000.0"
Osvaldo,Alonso,Seattle Sounders FC,M,"748000.0","789667.0"
Kevin,Alston,New England Revolution,D,"140000.0","158333.33"
Jozy,Altidore,Toronto FC,F,"4750000.0","4750000.0"
Carlos,Alvarez,Colorado Rapids,M,"70000.0","70000.0"
Pablo,Alvarez,New York City FC,M,"60000.0","63045.09"
Quincy,Amarikwa,San Jose Earthquakes,F,"100000.0","100000.0"
Jalil,Anibaba,Sporting Kansas City,D,"120000.0","150000.0"
Bernardo,Anor,Sporting Kansas City,M,"135000.0","135000.0"
Manuel,Aparicio,Toronto FC,M,"60000.0","60000.0"
Fernando,Aristeguieta,Philadelphia Union,F,"350004.0","350004.0"
Davy,Arnaud,DC United,M,"212500.0","212500.0"
Jairo,Arrieta,DC United,F,"150000.0","165000.0"
Corey,Ashe,Orlando City SC,M,"180000.0","189750.0"
Dairon,Asprilla,Portland Timbers,F,"60000.0","60000.0"
Jeff,Attinella,Real Salt Lake,GK,"60000.0","65083.33"
Eric,Avila,Orlando City SC,M,"72000.0","77000.0"
Eric,Ayuk,Philadelphia Union,M,"50000.0","50000.0"
Michael,Azira,Seattle Sounders FC,D,"60000.0","62826.88"
Dominique,Badji,Colorado Rapids,F,"50000.0","50000.0"
Mehdi,Ballouchy,New York City FC,M,"68250.0","83250.0"
Darrius,Barnes,New England Revolution,D,"95000.0","101666.67"
Giles,Barnes,Houston Dynamo,M,"247500.0","258375.0"
Tranquillo,Barnetta,Philadelphia Union,M,"624000.0","661500.0"
Leandro,Barrera,San Jose Earthquakes,F,"60000.0","60000.0"
Chad,Barrett,Seattle Sounders FC,F,"95000.0","100000.0"
Michael,Barrios,FC Dallas,M,"60000.0","60000.0"
Chad,Barson,Columbus Crew,D,"60000.0","60000.0"
DaMarcus,Beasley,Houston Dynamo,D,"750000.0","813333.33"
Kyle,Beckerman,Real Salt Lake,M,"625000.0","700000.0"
Adam,Bedell,Orlando City SC,F,"60000.0","60000.0"
Thomas,Bedinelli,Seattle Sounders FC,M,"108000.0","133125.0"
Steven,Beitashour,Vancouver Whitecaps,D,"190000.0","197166.67"
Kyle,Bekker,CF Montreal,M,"61765.0","88015.0"
Anthony,Beltran,Real Salt Lake,D,"195000.0","205950.0"
Joe,Bendik,Toronto FC,GK,"150000.0","157375.0"
Victor,Bernardez,San Jose Earthquakes,D,"200000.0","241600.0"
John,Berner,Colorado Rapids,GK,"60000.0","60000.0"
Patrice,Bernier,CF Montreal,F-M,"90000.0","135000.0"
Austin,Berry,Philadelphia Union,D,"93519.0","108519.0"
Matt,Besler,Sporting Kansas City,D,"650000.0","683250.0"
Nick,Besler,Portland Timbers,M,"65000.0","81250.0"
David,Bingham,San Jose Earthquakes,GK,"130000.0","137750.0"
Eric,Bird,Philadelphia Union,M,"60000.0","60000.0"
Steven,Birnbaum,DC United,D,"66000.0","96000.0"
Ambroise,Bitolo,CF Montreal,D,"100000.0","100000.0"
Andre,Blake,Philadelphia Union,GK,"85000.0","123000.0"
Mark,Bloom,Toronto FC,D,"90000.0","97348.89"
Luke,Boden,Orlando City SC,D,"75000.0","75000.0"
Oscar,Boniek Garcia,Houston Dynamo,F,"245000.0","303750.0"
Alex,Bono,Toronto FC,GK,"60000.0","80200.0"
Nat,Borchers,Portland Timbers,D,"235000.0","245000.0"
Bobby,Boswell,DC United,D,"200000.0","200000.0"
Michael,Bradley,Toronto FC,M,"6000000.0","6500000.0"
Connor,Brandt,New York City FC,M,"50000.0","50000.0"
