FirstName,LastName,Club,Position,BaseSalary,GuaranteedComp
Luis,Abram,Atlanta United,D,"732,275.00","871,888.00"
Miguel,Almirón,Atlanta United,F,"6,056,000.00","7,871,000.00"
Pedro,Amador,Atlanta United,D,"231,996.00","267,608.00"
Luke,Brennan,Atlanta United,M,"104,000.00","104,000.00"
Dominik,Chong Qui,Atlanta United,D,"80,622.00","80,622.00"
Noah,Cobb,Atlanta United,D,"109,000.00","109,000.00"
Josh,Cohen,Atlanta United,GK,"289,992.00","328,492.00"
Matthew,Edwards,Atlanta United,D,"80,622.00","80,622.00"
Ajani,Fortune,Atlanta United,M,"109,000.00","109,000.00"
Ashton,Gordon,Atlanta United,F,"80,622.00","80,622.00"
Stian,Gregersen,Atlanta United,D,"800,000.00","920,000.00"
Brad,Guzan,Atlanta United,GK,"300,000.00","312,500.00"
Ronald,Hernández,Atlanta United,D,"275,000.00","290,750.00"
Jayden,Hibbert,Atlanta United,GK,"80,622.00","80,622.00"
Mateusz,Klich,Atlanta United,M,"1,743,750.00","1,937,338.00"
Emmanuel,Latte Lath,Atlanta United,F,"3,534,546.00","4,030,546.00"
Brooks,Lennon,Atlanta United,D,"740,000.00","740,000.00"
Saba,Lobjanidze,Atlanta United,F,"900,000.00","998,750.00"
Alexey,Miranchuk,Atlanta United,M,"3,600,000.00","4,885,441.00"
Efraín,Morales,Atlanta United,D,"104,000.00","112,019.00"
Edwin,Mosquera,Atlanta United,F,"425,000.00","462,000.00"
Tristan,Muyumba,Atlanta United,M,"550,000.00","591,600.00"
Will,Reilly,Atlanta United,M,"80,622.00","80,622.00"
Bartosz,Slisz,Atlanta United,M,"670,000.00","870,000.00"
Jamal,Thiaré,Atlanta United,F,"700,000.00","730,000.00"
Cayman,Togashi,Atlanta United,F,"104,000.00","104,000.00"
Adyn,Torres,Atlanta United,M,"80,622.00","80,622.00"
Derrick,Williams,Atlanta United,D,"450,000.00","497,500.00"
Osman,Bukari,Austin FC,F,"1,500,000.00","1,500,000.00"
Micah,Burton,Austin FC,M,"104,000.00","115,000.00"
Julio,Cascante,Austin FC,D,"780,000.00","853,750.00"
Stefan,Cleveland,Austin FC,GK,"250,000.00","274,167.00"
Guilherme,Biro,Austin FC,D,"275,000.00","275,000.00"
Mikkel,Desler,Austin FC,D,"550,000.00","550,000.00"
Nicolás,Dubersarsky,Austin FC,M,"275,000.00","297,986.00"
Jimmy,Farkarlun,Austin FC,F,"80,622.00","80,622.00"
CJ,Fodrey,Austin FC,F,"104,000.00","108,000.00"
Jon,Gallagher,Austin FC,D,"375,000.00","375,000.00"
Brendan,Hines-Ike,Austin FC,D,"325,000.00","325,000.00"
Žan,Kolmanič,Austin FC,D,"350,000.00","350,000.00"
Damian,Las,Austin FC,GK,"125,000.00","125,000.00"
Jáder,Obrian,Austin FC,F,"450,000.00","505,401.00"
Daniel,Pereira,Austin FC,M,"475,000.00","514,375.00"
Diego,Rubio,Austin FC,F,"208,000.00","208,000.00"
Besard,Sabovic,Austin FC,M,"550,000.00","550,000.00"
Ilie,Sánchez,Austin FC,M,"600,000.00","600,000.00"
Brad,Stuver,Austin FC,GK,"484,500.00","507,313.00"
Oleksandr,Svatok,Austin FC,D,"500,000.00","505,000.00"
Robert,Taylor,Austin FC,F,"575,000.00","633,333.00"
Riley,Thomas,Austin FC,D,"80,622.00","80,622.00"
Myrto,Uzuni,Austin FC,F,"1,520,000.00","2,225,000.00"
